Severity,Issue,FANS Row,FANS Name,System ID,System Name,Expected Pass Tier,System Pass Tier,Expected Pass Subcategory,System Award Category,System Champion Category,Pass Slug,Unique Pass ID,View Count,First Checked In At,Suggested Correction
High,Pass tier/category differs; Pass subcategory missing,2,Mr Aakash Khokher,usr_71ef6f4c71374272bedf,Aakash Khokher,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,aakash-khokher,11fe4d52-c7b6-4194-ab2e-d153b079c3a8,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing; Missing pass PDF,3,Amrik Singh,usr_c9e569de19534400992b,Amrik Singh,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,amrik-singh,09346448-6567-4cc0-b2cd-841096ab62b8,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing; Missing pass PDF,4,Arabic Interpreter,usr_a93785e62d5940899fb1,Arabic Interpreter,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,arabic-interpreter,f79be342-222f-4496-aa9f-d0b0c8600a94,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,7,Dr Huzaifa H Khorakiwala,usr_zfsqxxbwzu4ko6wev7a8p3od,Huzaifa Habil Khorakiwala,I Am Peacekeeper Champion,I Am Peacekeeper COPE,,Peace Leadership and Social Impact,"Healthcare, Human Welfare and Peace-Building",dr-huzaifa-habil-khorakiwala,70204d99-5971-4439-be54-d9d373220126,21,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing; Missing pass PDF,8,Jasbir Singh Chopra,usr_e7c03bfc35fc4eef9fe7,Jasbir Singh Chopra,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,jasbir-singh-chopra,8a7f736d-889e-435d-9ef7-58350e50fd0f,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing; Missing pass PDF,10,Shri Jishnu Dev Varma - Accompany,usr_5ed7e885a39145a99ac6,Jishnu Dev Varma - Accompany,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,shri-jishnu-dev-varma-accompany,f425e8eb-c108-474f-9998-614438018569,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,14,Ms Samina Khorakiwala,usr_a5whx1atptoqdm3npmwjlwd4,Samina Khorakiwala,I Am Peacekeeper Champion,I Am Peacekeeper SCOPE,,I am Peacekeeper,,mrs-samina-khorakiwala,27a2f389-b0c4-4bf5-9929-ffec02e82da5,1,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing,15,Ms Souad Methnani Abbassi,usr_9b8ebaa18dbb4c0b8366,Souad Methnani Abbassi,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,souad-methnani-abbassi,00671385-e346-44d7-a3c7-71664c4bb5b3,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing; Missing pass PDF,16,Ms Sria Munasinghe,usr_039fd8b2e7d14ea6a846,Sria Munasinghe,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,ms-sria-munasinghe,0501538a-0e48-40a3-9f13-b3aaee09c722,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Pass subcategory missing,17,Ms Sumedha Kailash,usr_8e74b39d921842338019,Sumedha Kailash,Main accompanying guest - status to confirm,VIP I Am Peacekeeper Partner,,,,sumedha-kailash,3335e19c-925f-4fc3-91e1-7657a4ca3d80,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
