Metric,Value
Generated,2026-05-17 23:33:00
System CSV source,guests-2026-05-17-658.csv
FANS source,BFP Main FANS List - WIP May 17 2pm File.xlsx
Previous decision base,BFP_Clean_System_Instructions_2026-05-17.xlsx
System rows,658
FANS rows,519
Safe updates,116
Add new candidates,0
Manual review rows,337
Review link conflicts,84
System not in FANS,476
FANS not in System,337
Duplicate candidate groups,20
Pass category check rows,381
Pass duplicate removal review rows,68
System anomaly rows,1723
Rule,Latest SYSTEM CSV is source of truth for live System IDs.
Rule,Never delete system-only records automatically.
Rule,"Never auto-add placeholder, Walk-In, XXX, media or unclear rows."
Rule,Every uncertain match is routed to Manual Review.
